summary_file,raw_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_summary,readability_raw,sentence_length_summary,sentence_length_raw,comparison_type,blog_file_35t,blog_file_4o,readability_35t,readability_4o,sentence_length_35t,sentence_length_4o,blog_file,readability_blog,sentence_length_blog,readability_difference,sentence_length_difference
GPT_4o_1.txt,GPT_4o_Raw_Text_1.txt,0.4656716417910447,0.853791657992572,0.6666666666666666,0.4656716417910447,0.9689158,14.7,16.5,22.8,21.189655172413797,4o Sum Blo to 4o Raw Blog,,,,,,,,,,-1.8000000000000007,1.6103448275862036
GPT_4o_10.txt,GPT_4o_Raw_Text_10.txt,0.4631901840490797,0.7618128400893167,0.5,0.4631901840490797,0.9442393,14.4,13.0,25.90322580645161,28.81578947368421,4o Sum Blo to 4o Raw Blog,,,,,,,,,,1.4000000000000004,-2.9125636672326003
GPT_4o_100.txt,GPT_4o_Raw_Text_100.txt,0.3358395989974937,0.7497455668508586,1.0,0.3358395989974937,0.95159435,15.3,11.0,24.07692307692308,22.19298245614035,4o Sum Blo to 4o Raw Blog,,,,,,,,,,4.300000000000001,1.883940620782731
GPT_4o_11.txt,GPT_4o_Raw_Text_11.txt,0.4314285714285714,0.7140942816413984,0.3333333333333333,0.4314285714285714,0.94902444,14.5,12.2,23.027027027027028,17.054054054054053,4o Sum Blo to 4o Raw Blog,,,,,,,,,,2.3000000000000007,5.9729729729729755
GPT_4o_12.txt,GPT_4o_Raw_Text_12.txt,0.4859550561797753,0.8175246048378086,0.0,0.4859550561797753,0.9700698,16.5,14.9,24.571428571428573,20.254901960784316,4o Sum Blo to 4o Raw Blog,,,,,,,,,,1.5999999999999996,4.316526610644257
GPT_4o_13.txt,GPT_4o_Raw_Text_13.txt,0.4026315789473684,0.7988579778921285,0.0,0.4026315789473684,0.9525449,14.3,15.7,22.26315789473684,23.8,4o Sum Blo to 4o Raw Blog,,,,,,,,,,-1.3999999999999986,-1.5368421052631618
GPT_4o_14.txt,GPT_4o_Raw_Text_14.txt,0.4049586776859504,0.8578775597290929,1.0,0.4049586776859504,0.9691571,15.4,15.2,26.096774193548388,23.1,4o Sum Blo to 4o Raw Blog,,,,,,,,,,0.20000000000000107,2.9967741935483865
GPT_4o_15.txt,GPT_4o_Raw_Text_15.txt,0.4720670391061452,0.8335010556150366,0.5,0.4720670391061452,0.9701853,14.2,13.9,22.725,20.40322580645161,4o Sum Blo to 4o Raw Blog,,,,,,,,,,0.29999999999999893,2.321774193548393
GPT_4o_16.txt,GPT_4o_Raw_Text_16.txt,0.4397759103641456,0.850479782205753,0.5,0.4397759103641456,0.9712124,17.1,14.0,26.966666666666665,19.3,4o Sum Blo to 4o Raw Blog,,,,,,,,,,3.1000000000000014,7.666666666666664
GPT_4o_17.txt,GPT_4o_Raw_Text_17.txt,0.4736842105263157,0.7236555454321972,0.5,0.4736842105263157,0.9744279,13.8,16.2,23.78787878787879,25.5,4o Sum Blo to 4o Raw Blog,,,,,,,,,,-2.3999999999999986,-1.712121212121211
GPT_4o_18.txt,GPT_4o_Raw_Text_18.txt,0.4403892944038929,0.7747460046214044,0.3333333333333333,0.4403892944038929,0.9781033,16.4,15.5,24.97058823529412,21.60377358490566,4o Sum Blo to 4o Raw Blog,,,,,,,,,,0.8999999999999986,3.3668146503884593
GPT_4o_19.txt,GPT_4o_Raw_Text_19.txt,0.4599406528189911,0.8100898457023393,0.5,0.4599406528189911,0.9760431,15.4,13.0,24.852941176470587,22.363636363636363,4o Sum Blo to 4o Raw Blog,,,,,,,,,,2.4000000000000004,2.4893048128342237
GPT_4o_2.txt,GPT_4o_Raw_Text_2.txt,0.3781094527363184,0.7084448793173561,0.0,0.3781094527363184,0.96209234,15.5,15.3,26.0625,22.59183673469388,4o Sum Blo to 4o Raw Blog,,,,,,,,,,0.1999999999999993,3.4706632653061185
GPT_4o_20.txt,GPT_4o_Raw_Text_20.txt,0.4293628808864266,0.7850983870028618,1.0,0.4293628808864266,0.9784633,16.7,16.2,23.685714285714287,23.43478260869565,4o Sum Blo to 4o Raw Blog,,,,,,,,,,0.5,0.25093167701863806
GPT_4o_21.txt,GPT_4o_Raw_Text_21.txt,0.4009433962264151,0.8331834480606797,1.0,0.4009433962264151,0.9623338,15.3,15.5,25.10810810810811,22.2,4o Sum Blo to 4o Raw Blog,,,,,,,,,,-0.1999999999999993,2.9081081081081095
GPT_4o_22.txt,GPT_4o_Raw_Text_22.txt,0.3759398496240601,0.8198145747117727,0.3333333333333333,0.3759398496240601,0.9410248,17.1,13.1,25.25,24.67441860465116,4o Sum Blo to 4o Raw Blog,,,,,,,,,,4.000000000000002,0.5755813953488413
GPT_4o_23.txt,GPT_4o_Raw_Text_23.txt,0.4611260053619302,0.7603789615202653,0.5,0.4611260053619302,0.9716058,14.6,14.5,20.73170731707317,19.18918918918919,4o Sum Blo to 4o Raw Blog,,,,,,,,,,0.09999999999999964,1.5425181278839801
GPT_4o_24.txt,GPT_4o_Raw_Text_24.txt,0.444743935309973,0.8321462090149666,1.0,0.444743935309973,0.9760095,14.7,14.1,23.114285714285717,21.93877551020408,4o Sum Blo to 4o Raw Blog,,,,,,,,,,0.5999999999999996,1.175510204081636
GPT_4o_25.txt,GPT_4o_Raw_Text_25.txt,0.3461538461538461,0.7768827435351526,0.5,0.3461538461538461,0.9624915,16.5,14.6,28.114285714285717,23.392156862745097,4o Sum Blo to 4o Raw Blog,,,,,,,,,,1.9000000000000004,4.722128851540621
