summary_file,raw_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_summary,readability_raw,sentence_length_summary,sentence_length_raw
blog_summary_1.txt,raw_text_1.txt,0.688,0.7741543339188471,1.0,0.688,0.95910543,15.1,11.1,25.666666666666668,27.495495495495497
blog_summary_10.txt,raw_text_10.txt,0.43434343434343436,0.6956699462647498,0.5,0.43434343434343436,0.88463926,16.4,7.7,29.285714285714285,22.345864661654137
blog_summary_100.txt,raw_text_100.txt,0.42386831275720166,0.7973449344126711,1.0,0.42386831275720166,0.8631433,16.3,8.1,28.823529411764707,26.012820512820515
blog_summary_11.txt,raw_text_11.txt,0.18134715025906736,0.021648888596916216,0.0,0.18134715025906736,0.5524936,16.7,10.0,27.0,1616.8
blog_summary_12.txt,raw_text_12.txt,0.5074626865671642,0.7484292750358792,0.0,0.5074626865671642,0.9110358,17.2,9.1,28.25,18.41108545034642
blog_summary_13.txt,raw_text_13.txt,0.5732217573221757,0.6467946868943183,1.0,0.5732217573221757,0.8721266,15.1,9.0,25.0,24.60064585575888
blog_summary_14.txt,raw_text_14.txt,0.49145299145299143,0.7796133954241555,0.0,0.49145299145299143,0.8645997,13.6,13.4,25.526315789473685,27.82608695652174
blog_summary_15.txt,raw_text_15.txt,0.4851063829787234,0.7939882186430838,0.0,0.4851063829787234,0.8705159,17.7,10.3,34.5625,23.4478672985782
blog_summary_16.txt,raw_text_16.txt,0.48846153846153845,0.7764112333605342,0.5,0.48846153846153845,0.8982737,18.0,12.7,30.5,26.2196261682243
blog_summary_17.txt,raw_text_17.txt,0.5866141732283464,0.7889286132500174,0.5,0.5866141732283464,0.8873702,17.0,10.3,31.75,21.25626740947075
blog_summary_18.txt,raw_text_18.txt,0.5679012345679012,0.7714440073478179,0.0,0.5679012345679012,0.9158748,16.7,10.6,27.166666666666668,23.5752508361204
blog_summary_19.txt,raw_text_19.txt,0.5555555555555556,0.40933078912436127,0.3333333333333333,0.5555555555555556,0.9077772,16.6,8.1,24.875,30.503937007874015
blog_summary_2.txt,raw_text_2.txt,0.5577889447236181,0.715011327034599,0.5,0.5577889447236181,0.8877967,17.3,10.9,29.133333333333333,21.20505617977528
blog_summary_20.txt,raw_text_20.txt,0.45544554455445546,0.7731547256716556,0.3333333333333333,0.45544554455445546,0.9259068,16.2,10.2,28.304347826086957,22.238095238095237
blog_summary_21.txt,raw_text_21.txt,0.5502183406113537,0.5559520363489029,0.0,0.5502183406113537,0.87579995,16.9,8.7,27.625,31.206451612903226
blog_summary_22.txt,raw_text_22.txt,0.48660714285714285,0.5638299719782934,0.6666666666666666,0.48660714285714285,0.8910732,18.2,8.8,31.1875,36.51401869158879
