summary_file,raw_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_summary,readability_raw,sentence_length_summary,sentence_length_raw
GPT_4o_62.txt,GPT_4o_Raw_Text_62.txt,0.44324324324324327,0.7897332993344317,1.0,0.44324324324324327,0.9741883,17.5,15.5,27.655172413793103,21.862745098039216
GPT_4o_63.txt,GPT_4o_Raw_Text_63.txt,0.4860759493670886,0.8530428883058346,0.5,0.4860759493670886,0.9743642,15.9,15.1,27.89189189189189,23.906976744186046
GPT_4o_64.txt,GPT_4o_Raw_Text_64.txt,0.3780160857908847,0.7623107725797915,0.0,0.3780160857908847,0.9474401,15.1,12.8,24.25,21.0
GPT_4o_65.txt,GPT_4o_Raw_Text_65.txt,0.3877005347593583,0.7379861168970818,0.0,0.3877005347593583,0.967276,16.9,17.4,26.454545454545453,31.633333333333333
GPT_4o_66.txt,GPT_4o_Raw_Text_66.txt,0.46524064171123,0.7899693341328509,0.5,0.46524064171123,0.9619553,15.1,15.8,24.176470588235293,23.377777777777776
GPT_4o_67.txt,GPT_4o_Raw_Text_67.txt,0.4057971014492754,0.7731864800766735,0.3333333333333333,0.4057971014492754,0.97531015,15.2,15.9,22.928571428571427,20.375
GPT_4o_68.txt,GPT_4o_Raw_Text_68.txt,0.48614609571788414,0.8535863260221651,0.5,0.48614609571788414,0.9755517,17.1,14.8,26.88235294117647,23.77777777777778
GPT_4o_69.txt,GPT_4o_Raw_Text_69.txt,0.48484848484848486,0.8542327883105443,0.5,0.48484848484848486,0.97720623,15.4,14.4,24.5625,22.19148936170213
GPT_4o_7.txt,GPT_4o_Raw_Text_7.txt,0.4075067024128686,0.7782133631287373,1.0,0.4075067024128686,0.9782992,16.2,14.2,24.37142857142857,18.30909090909091
GPT_4o_70.txt,GPT_4o_Raw_Text_70.txt,0.46630727762803237,0.7825584819208218,0.5,0.46630727762803237,0.96798265,15.6,14.8,25.64516129032258,21.571428571428573
GPT_4o_71.txt,GPT_4o_Raw_Text_71.txt,0.4166666666666667,0.7709166594712831,1.0,0.4166666666666667,0.96751404,14.5,13.2,22.384615384615383,22.48936170212766
GPT_4o_72.txt,GPT_4o_Raw_Text_72.txt,0.45425867507886436,0.7806044881787473,0.5,0.45425867507886436,0.96013105,15.3,13.7,24.296296296296298,20.775510204081634
GPT_4o_73.txt,GPT_4o_Raw_Text_73.txt,0.46629213483146065,0.7993767055523575,0.0,0.46629213483146065,0.9610345,14.7,16.0,23.696969696969695,23.666666666666668
GPT_4o_74.txt,GPT_4o_Raw_Text_74.txt,0.4588859416445623,0.7870447960835494,0.5,0.4588859416445623,0.9778396,16.4,15.1,25.147058823529413,20.19672131147541
GPT_4o_75.txt,GPT_4o_Raw_Text_75.txt,0.4068627450980392,0.8088684832618698,0.5,0.4068627450980392,0.95009005,14.3,13.6,25.3,24.547619047619047
GPT_4o_76.txt,GPT_4o_Raw_Text_76.txt,0.4040920716112532,0.6669799564222638,0.3333333333333333,0.4040920716112532,0.9696087,12.9,13.5,22.390243902439025,23.181818181818183
GPT_4o_77.txt,GPT_4o_Raw_Text_77.txt,0.3333333333333333,0.6759097297720398,1.0,0.3333333333333333,0.96709365,12.5,13.4,20.75,19.76595744680851
GPT_4o_78.txt,GPT_4o_Raw_Text_78.txt,0.4398976982097187,0.7853237819433303,0.6666666666666666,0.4398976982097187,0.9591923,16.9,14.2,25.96969696969697,21.11111111111111
GPT_4o_79.txt,GPT_4o_Raw_Text_79.txt,0.3851851851851852,0.7653185657273548,0.0,0.3851851851851852,0.9665581,15.4,13.6,25.16216216216216,20.057692307692307
GPT_4o_8.txt,GPT_4o_Raw_Text_8.txt,0.449468085106383,0.817124306805293,0.0,0.449468085106383,0.97064,13.8,15.0,23.62162162162162,22.876923076923077
GPT_4o_80.txt,GPT_4o_Raw_Text_80.txt,0.4388059701492537,0.7317476427023787,1.0,0.4388059701492537,0.9622889,15.7,13.2,26.586206896551722,23.327272727272728
GPT_4o_81.txt,GPT_4o_Raw_Text_81.txt,0.4441489361702128,0.7896169722284139,1.0,0.4441489361702128,0.96066976,14.9,13.7,23.666666666666668,20.738095238095237
GPT_4o_82.txt,GPT_4o_Raw_Text_82.txt,0.4320652173913043,0.8240556070004589,0.0,0.4320652173913043,0.97731876,14.5,14.4,22.58974358974359,24.575
GPT_4o_83.txt,GPT_4o_Raw_Text_83.txt,0.41944444444444445,0.8108613276444946,0.0,0.41944444444444445,0.9552639,15.1,14.4,24.151515151515152,23.183673469387756
GPT_4o_84.txt,GPT_4o_Raw_Text_84.txt,0.4627659574468085,0.850460435120681,0.5,0.4627659574468085,0.9766429,15.7,14.2,24.416666666666668,22.01923076923077
GPT_4o_85.txt,GPT_4o_Raw_Text_85.txt,0.4098360655737705,0.77108600073632,0.3333333333333333,0.4098360655737705,0.9605094,16.9,14.7,26.3125,24.13157894736842
GPT_4o_86.txt,GPT_4o_Raw_Text_86.txt,0.40625,0.8371328682418746,0.0,0.40625,0.95834637,16.2,14.2,27.5625,26.236842105263158
GPT_4o_87.txt,GPT_4o_Raw_Text_87.txt,0.43640897755610975,0.7948825203480987,0.3333333333333333,0.43640897755610975,0.96817017,14.2,15.7,24.76923076923077,22.0
GPT_4o_88.txt,GPT_4o_Raw_Text_88.txt,0.417910447761194,0.8167195627389093,1.0,0.417910447761194,0.9714717,14.8,14.7,23.05128205128205,18.714285714285715
GPT_4o_89.txt,GPT_4o_Raw_Text_89.txt,0.41265822784810124,0.7403976249198857,0.5,0.41265822784810124,0.96168184,13.9,14.2,24.333333333333332,20.630434782608695
GPT_4o_9.txt,GPT_4o_Raw_Text_9.txt,0.3932038834951456,0.7814406195915948,0.5,0.3932038834951456,0.9667649,15.1,14.6,24.473684210526315,22.846153846153847
