raw_file,blog_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_raw,readability_blog,sentence_length_raw,sentence_length_blog
raw_text_1.txt,GPT_4o_Raw_Text_1.txt,0.15920679886685551,0.8053178531282735,0.3333333333333333,0.15920679886685551,0.94343156,11.1,16.5,27.495495495495497,21.189655172413794
raw_text_10.txt,GPT_4o_Raw_Text_10.txt,0.26961483594864477,0.8093526188744948,0.5,0.26961483594864477,0.95481944,7.7,13.0,22.345864661654137,28.81578947368421
raw_text_100.txt,GPT_4o_Raw_Text_100.txt,0.14084507042253522,0.8233294617356084,0.6666666666666666,0.14084507042253522,0.912344,8.1,11.0,26.012820512820515,22.19298245614035
raw_text_11.txt,GPT_4o_Raw_Text_11.txt,0.05912743972445465,0.0342734059022792,0.0,0.05912743972445465,0.57817143,10.0,12.2,1616.8,17.054054054054053
raw_text_12.txt,GPT_4o_Raw_Text_12.txt,0.13830361966504592,0.7670183438932479,0.5,0.13830361966504592,0.95139456,9.1,14.9,18.41108545034642,20.254901960784313
raw_text_13.txt,GPT_4o_Raw_Text_13.txt,0.10896445131375579,0.7030984273974293,0.5,0.10896445131375579,0.89668417,9.0,15.7,24.60064585575888,23.8
raw_text_14.txt,GPT_4o_Raw_Text_14.txt,0.25448028673835127,0.8714841716947432,0.5,0.25448028673835127,0.8890913,13.4,15.2,27.82608695652174,23.1
raw_text_15.txt,GPT_4o_Raw_Text_15.txt,0.14538198403648803,0.7682563754957301,0.5,0.14538198403648803,0.9032828,10.3,13.9,23.4478672985782,20.403225806451612
raw_text_16.txt,GPT_4o_Raw_Text_16.txt,0.225,0.8210246550088296,0.5,0.225,0.93321675,12.7,14.0,26.2196261682243,19.3
raw_text_17.txt,GPT_4o_Raw_Text_17.txt,0.14015151515151514,0.7341864481909531,1.0,0.14015151515151514,0.93417704,10.3,16.2,21.25626740947075,25.5
raw_text_18.txt,GPT_4o_Raw_Text_18.txt,0.1945266272189349,0.8439679622815367,0.25,0.1945266272189349,0.94654596,10.6,15.5,23.5752508361204,21.60377358490566
raw_text_19.txt,GPT_4o_Raw_Text_19.txt,0.12332589285714286,0.41588245759878106,0.5,0.12332589285714286,0.9437672,8.1,13.0,30.503937007874015,22.363636363636363
raw_text_2.txt,GPT_4o_Raw_Text_2.txt,0.162874251497006,0.8395319669323977,0.6666666666666666,0.162874251497006,0.93035275,10.9,15.3,21.20505617977528,22.591836734693878
raw_text_20.txt,GPT_4o_Raw_Text_20.txt,0.09437596302003082,0.8417536837304206,0.5,0.09437596302003082,0.9526644,10.2,16.2,22.238095238095237,23.434782608695652
raw_text_21.txt,GPT_4o_Raw_Text_21.txt,0.0967741935483871,0.587987939354725,0.3333333333333333,0.0967741935483871,0.94381875,8.7,15.5,31.206451612903226,22.2
raw_text_22.txt,GPT_4o_Raw_Text_22.txt,0.10053859964093358,0.5734667716892814,0.0,0.10053859964093358,0.9420266,8.8,13.1,36.51401869158879,24.674418604651162
raw_text_23.txt,GPT_4o_Raw_Text_23.txt,0.1115819209039548,0.7297101976934154,0.0,0.1115819209039548,0.6495708,9.8,14.5,30.804911323328785,19.18918918918919
raw_text_24.txt,GPT_4o_Raw_Text_24.txt,0.15459681561376476,0.8267939004357079,0.5,0.15459681561376476,0.9417458,11.3,14.1,24.76065573770492,21.93877551020408
raw_text_25.txt,GPT_4o_Raw_Text_25.txt,0.2736098852603707,0.9034580188951994,0.5,0.2736098852603707,0.9593737,13.4,14.6,22.379310344827587,23.392156862745097
raw_text_26.txt,GPT_4o_Raw_Text_26.txt,0.12525987525987525,0.7082617637814289,0.5,0.12525987525987525,0.92737466,11.7,15.1,36.742096505823625,21.155555555555555
raw_text_27.txt,GPT_4o_Raw_Text_27.txt,0.15006759801712483,0.7884295915513566,0.5,0.15006759801712483,0.9378551,7.6,14.8,25.994949494949495,19.402985074626866
raw_text_28.txt,GPT_4o_Raw_Text_28.txt,0.1806775407779172,0.8083392784087442,1.0,0.1806775407779172,0.9541561,11.0,15.5,23.74798927613941,22.60377358490566
raw_text_29.txt,GPT_4o_Raw_Text_29.txt,0.09532780708364733,0.7400593164019819,0.3333333333333333,0.09532780708364733,0.9434551,8.6,16.2,29.6816091954023,25.45
raw_text_3.txt,GPT_4o_Raw_Text_3.txt,0.16986301369863013,0.7678565457195409,0.5,0.16986301369863013,0.9524114,10.5,12.8,19.072948328267476,21.980392156862745
raw_text_30.txt,GPT_4o_Raw_Text_30.txt,0.15405117270788912,0.863362857551485,0.5,0.15405117270788912,0.9633417,11.0,14.7,23.619565217391305,19.842105263157894
raw_text_31.txt,GPT_4o_Raw_Text_31.txt,0.133234274393264,0.7764964269489366,0.5,0.133234274393264,0.93460375,11.6,15.9,22.761904761904763,24.066666666666666
raw_text_32.txt,GPT_4o_Raw_Text_32.txt,0.11587301587301588,0.8624888160241881,0.5,0.11587301587301588,0.9665108,10.8,13.5,22.52772466539197,18.98181818181818
raw_text_33.txt,GPT_4o_Raw_Text_33.txt,0.23408071748878923,0.8833903278197013,0.6666666666666666,0.23408071748878923,0.93599635,12.9,15.7,22.258823529411764,21.69811320754717
raw_text_34.txt,GPT_4o_Raw_Text_34.txt,0.12242268041237113,0.8422766701752733,0.0,0.12242268041237113,0.9408487,12.0,15.3,26.58653846153846,22.372093023255815
raw_text_35.txt,GPT_4o_Raw_Text_35.txt,0.37596471885336274,0.8581105530663211,0.0,0.37596471885336274,0.9343277,11.4,12.7,19.273809523809526,14.440860215053764
