summary_file,blog_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_summary,readability_blog,sentence_length_summary,sentence_length_blog
blog_summary_1.txt,GPT_4o_1.txt,0.728,0.9171955895342612,1.0,0.728,0.9844854,15.1,14.7,25.666666666666668,22.8
blog_summary_10.txt,GPT_4o_10.txt,0.7727272727272727,0.9084928904803511,0.6666666666666666,0.7727272727272727,0.9851226,16.4,14.4,29.285714285714285,25.903225806451612
blog_summary_100.txt,GPT_4o_100.txt,0.8806584362139918,0.9361538453760045,0.5,0.8806584362139918,0.9880525,16.3,15.3,28.823529411764707,24.076923076923077
blog_summary_11.txt,GPT_4o_11.txt,0.7616580310880829,0.8893164427853051,0.5,0.7616580310880829,0.9732938,16.7,14.5,27.0,23.027027027027028
blog_summary_12.txt,GPT_4o_12.txt,0.8731343283582089,0.936864250641368,1.0,0.8731343283582089,0.9921926,17.2,16.5,28.25,24.571428571428573
blog_summary_13.txt,GPT_4o_13.txt,0.7615062761506276,0.8953612006646987,1.0,0.7615062761506276,0.9870719,15.1,14.3,25.0,22.263157894736842
blog_summary_14.txt,GPT_4o_14.txt,0.8162393162393162,0.938168618292796,1.0,0.8162393162393162,0.983238,13.6,15.4,25.526315789473685,26.096774193548388
blog_summary_15.txt,GPT_4o_15.txt,0.8042553191489362,0.9446422703745772,1.0,0.8042553191489362,0.97876894,17.7,14.2,34.5625,22.725
blog_summary_16.txt,GPT_4o_16.txt,0.7615384615384615,0.9272711318970766,1.0,0.7615384615384615,0.98851615,18.0,17.1,30.5,26.966666666666665
blog_summary_17.txt,GPT_4o_17.txt,0.7322834645669292,0.8943614316887942,1.0,0.7322834645669292,0.97844774,17.0,13.8,31.75,23.78787878787879
blog_summary_18.txt,GPT_4o_18.txt,0.7366255144032922,0.8680934807854264,1.0,0.7366255144032922,0.9741374,16.7,16.4,27.166666666666668,24.970588235294116
blog_summary_19.txt,GPT_4o_19.txt,0.7724867724867724,0.8897828364912019,1.0,0.7724867724867724,0.98079467,16.6,15.4,24.875,24.852941176470587
blog_summary_2.txt,GPT_4o_2.txt,0.6733668341708543,0.8635486050028095,0.5,0.6733668341708543,0.9742174,17.3,15.5,29.133333333333333,26.0625
blog_summary_20.txt,GPT_4o_20.txt,0.7920792079207921,0.9440761053489924,1.0,0.7920792079207921,0.9932488,16.2,16.7,28.304347826086957,23.685714285714287
blog_summary_21.txt,GPT_4o_21.txt,0.7947598253275109,0.8880780402689681,0.0,0.7947598253275109,0.9803098,16.9,15.3,27.625,25.10810810810811
blog_summary_22.txt,GPT_4o_22.txt,0.6473214285714286,0.9077983531125418,0.0,0.6473214285714286,0.97977614,18.2,17.1,31.1875,25.25
blog_summary_23.txt,GPT_4o_23.txt,0.729957805907173,0.8925655495128351,1.0,0.729957805907173,0.97645485,15.0,14.6,25.0,20.73170731707317
blog_summary_24.txt,GPT_4o_24.txt,0.7924528301886793,0.9092911114066919,0.5,0.7924528301886793,0.9834075,17.0,14.7,31.157894736842106,23.114285714285714
blog_summary_25.txt,GPT_4o_25.txt,0.881578947368421,0.9548686428131207,0.6666666666666666,0.881578947368421,0.9859207,18.7,16.5,32.6,28.114285714285714
blog_summary_26.txt,GPT_4o_26.txt,0.7364016736401674,0.8915753949359382,1.0,0.7364016736401674,0.9837014,17.7,14.8,29.875,22.46153846153846
blog_summary_27.txt,GPT_4o_27.txt,0.7550200803212851,0.9123084916893693,1.0,0.7550200803212851,0.9885072,17.5,15.6,30.352941176470587,22.214285714285715
blog_summary_28.txt,GPT_4o_28.txt,0.7083333333333334,0.8905113578924118,0.6666666666666666,0.7083333333333334,0.9669268,18.6,15.5,30.866666666666667,23.151515151515152
blog_summary_29.txt,GPT_4o_29.txt,0.7969924812030075,0.9066843920389187,1.0,0.7969924812030075,0.98700583,17.2,15.4,32.875,25.514285714285716
blog_summary_3.txt,GPT_4o_3.txt,0.6995708154506438,0.8846588885173154,1.0,0.6995708154506438,0.9874886,16.1,13.1,29.166666666666668,21.40625
blog_summary_30.txt,GPT_4o_30.txt,0.7192982456140351,0.902626996913383,0.5,0.7192982456140351,0.98700136,18.8,16.4,29.1875,24.64516129032258
blog_summary_31.txt,GPT_4o_31.txt,0.8625954198473282,0.9287485134812297,0.5,0.8625954198473282,0.9853096,17.9,15.3,30.105263157894736,24.42105263157895
blog_summary_32.txt,GPT_4o_32.txt,0.8232558139534883,0.9091137838926397,0.5,0.8232558139534883,0.98655355,17.8,15.1,31.133333333333333,23.454545454545453
blog_summary_33.txt,GPT_4o_33.txt,0.6987951807228916,0.900901836828231,1.0,0.6987951807228916,0.9812366,17.2,15.8,31.352941176470587,26.470588235294116
blog_summary_34.txt,GPT_4o_34.txt,0.8818565400843882,0.9283283175176851,0.5,0.8818565400843882,0.98223346,18.2,14.0,31.375,24.05
blog_summary_35.txt,GPT_4o_35.txt,0.7937219730941704,0.9233053369158322,1.0,0.7937219730941704,0.9861789,16.4,16.4,25.63157894736842,25.060606060606062
blog_summary_36.txt,GPT_4o_36.txt,0.7965367965367965,0.9175950014241787,0.6666666666666666,0.7965367965367965,0.9873475,18.0,16.4,30.235294117647058,24.542857142857144
blog_summary_37.txt,GPT_4o_37.txt,0.7446808510638298,0.8846146894245711,1.0,0.7446808510638298,0.9816919,18.9,15.1,29.625,21.694444444444443
blog_summary_38.txt,GPT_4o_38.txt,0.7455357142857143,0.867579908087615,0.6666666666666666,0.7455357142857143,0.9819268,18.0,15.6,31.333333333333332,22.25
blog_summary_39.txt,GPT_4o_39.txt,0.9666666666666667,0.9624184773375122,1.0,0.9666666666666667,0.9900895,16.0,16.2,28.41176470588235,28.21875
blog_summary_4.txt,GPT_4o_4.txt,0.680327868852459,0.8590780803175886,0.0,0.680327868852459,0.9763417,16.3,13.0,28.85,21.853658536585368
blog_summary_40.txt,GPT_4o_40.txt,0.8634538152610441,0.9298490074281105,1.0,0.8634538152610441,0.98117864,17.3,14.9,29.31578947368421,23.789473684210527
blog_summary_41.txt,GPT_4o_41.txt,0.8787878787878788,0.9452422665629538,0.5,0.8787878787878788,0.9796166,16.6,15.7,29.8,25.235294117647058
blog_summary_42.txt,GPT_4o_42.txt,0.753968253968254,0.8944512332294097,1.0,0.753968253968254,0.97966033,16.9,15.2,30.333333333333332,24.457142857142856
blog_summary_43.txt,GPT_4o_43.txt,0.921161825726141,0.9343415159078541,0.5,0.921161825726141,0.9824196,18.3,15.4,31.235294117647058,23.78048780487805
blog_summary_44.txt,GPT_4o_44.txt,0.9375,0.947219078686981,1.0,0.9375,0.9792131,16.3,15.2,31.8125,27.676470588235293
blog_summary_45.txt,GPT_4o_45.txt,0.7631578947368421,0.8815845910249238,0.5,0.7631578947368421,0.9799385,14.7,14.4,22.545454545454547,20.390243902439025
blog_summary_46.txt,GPT_4o_46.txt,0.7777777777777778,0.8527113403127583,0.3333333333333333,0.7777777777777778,0.9826101,17.8,16.0,31.571428571428573,23.606060606060606
blog_summary_47.txt,GPT_4o_47.txt,0.8070175438596491,0.8998804234884823,0.5,0.8070175438596491,0.9761838,16.5,15.8,30.2,26.387096774193548
blog_summary_48.txt,GPT_4o_48.txt,0.7292576419213974,0.8445606014584864,0.5,0.7292576419213974,0.98808324,15.1,15.1,26.5,25.413793103448278
blog_summary_49.txt,GPT_4o_49.txt,0.7768924302788844,0.9085366432483074,1.0,0.7768924302788844,0.9785627,17.6,15.9,29.4375,23.457142857142856
blog_summary_5.txt,GPT_4o_5.txt,0.7887323943661971,0.8855108606061491,1.0,0.7887323943661971,0.98271465,18.5,13.7,29.533333333333335,21.341463414634145
blog_summary_50.txt,GPT_4o_50.txt,0.7188940092165899,0.9164668261446773,0.5,0.7188940092165899,0.978389,16.5,15.6,30.866666666666667,25.88235294117647
blog_summary_51.txt,GPT_4o_51.txt,0.8588709677419355,0.8901846022058197,1.0,0.8588709677419355,0.9722627,18.7,15.9,29.1875,24.21212121212121
blog_summary_52.txt,GPT_4o_52.txt,0.7105263157894737,0.8729411754445638,0.5,0.7105263157894737,0.96846944,16.8,16.0,30.6,27.5
blog_summary_53.txt,GPT_4o_53.txt,0.8122448979591836,0.9456237052817986,1.0,0.8122448979591836,0.98896074,17.0,15.6,31.470588235294116,24.413793103448278
blog_summary_54.txt,GPT_4o_54.txt,0.930327868852459,0.9573294971722839,1.0,0.930327868852459,0.9879071,17.1,15.5,29.22222222222222,26.483870967741936
blog_summary_55.txt,GPT_4o_55.txt,0.8425531914893617,0.9170735140213,0.5,0.8425531914893617,0.97289485,17.2,15.1,32.88235294117647,24.428571428571427
blog_summary_56.txt,GPT_4o_56.txt,0.8488888888888889,0.8945671531156376,1.0,0.8488888888888889,0.9818519,16.7,16.7,26.75,28.866666666666667
blog_summary_57.txt,GPT_4o_57.txt,0.8089887640449438,0.902163370954834,0.5,0.8089887640449438,0.987699,17.8,15.0,33.38461538461539,24.054054054054053
blog_summary_58.txt,GPT_4o_58.txt,0.8468468468468469,0.9089708689350837,0.6666666666666666,0.8468468468468469,0.97623366,17.5,16.3,25.529411764705884,24.63888888888889
