file,readability_score,sentence_length_avg,lexical_diversity,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_compound
GPT_4o_Raw_Text_72.txt,13.7,20.775510204081634,0.42829076620825146,0.137,0.839,0.024,0.9978
GPT_4o_Raw_Text_73.txt,16.0,23.666666666666668,0.3732394366197183,0.14,0.84,0.021,0.9983
GPT_4o_Raw_Text_74.txt,15.1,20.19672131147541,0.3823051948051948,0.211,0.736,0.052,0.9996
GPT_4o_Raw_Text_75.txt,13.6,24.547619047619047,0.3511154219204656,0.084,0.906,0.01,0.9957
GPT_4o_Raw_Text_76.txt,13.5,23.181818181818183,0.37450980392156863,0.172,0.819,0.009,0.9992
GPT_4o_Raw_Text_77.txt,13.4,19.76595744680851,0.39181916038751347,0.121,0.87,0.009,0.9978
GPT_4o_Raw_Text_78.txt,14.2,21.11111111111111,0.4031578947368421,0.178,0.79,0.032,0.999
GPT_4o_Raw_Text_79.txt,13.6,20.057692307692307,0.45254074784276127,0.073,0.92,0.007,0.9884
GPT_4o_Raw_Text_8.txt,15.0,22.876923076923077,0.36381977135171484,0.147,0.836,0.017,0.9995
GPT_4o_Raw_Text_80.txt,13.2,23.327272727272728,0.387373343725643,0.096,0.865,0.038,0.9961
GPT_4o_Raw_Text_81.txt,13.7,20.738095238095237,0.4121699196326062,0.124,0.849,0.027,0.9956
GPT_4o_Raw_Text_82.txt,14.4,24.575,0.4231943031536114,0.116,0.878,0.006,0.9973
GPT_4o_Raw_Text_83.txt,14.4,23.183673469387756,0.37764084507042256,0.129,0.853,0.017,0.9982
GPT_4o_Raw_Text_84.txt,14.2,22.01923076923077,0.36943231441048036,0.141,0.851,0.008,0.999
GPT_4o_Raw_Text_85.txt,14.7,24.13157894736842,0.4198473282442748,0.142,0.822,0.037,0.9979
GPT_4o_Raw_Text_86.txt,14.2,26.236842105263158,0.36810431293881646,0.055,0.936,0.009,0.984
GPT_4o_Raw_Text_87.txt,15.7,22.0,0.40789473684210525,0.276,0.688,0.036,0.9996
GPT_4o_Raw_Text_88.txt,14.7,18.714285714285715,0.39525021204410515,0.119,0.851,0.03,0.9953
GPT_4o_Raw_Text_89.txt,14.2,20.630434782608695,0.44151738672286617,0.128,0.846,0.025,0.9975
GPT_4o_Raw_Text_9.txt,14.6,22.846153846153847,0.4489337822671156,0.137,0.82,0.043,0.995
GPT_4o_Raw_Text_90.txt,16.6,22.756756756756758,0.4679334916864608,0.143,0.854,0.003,0.9978
GPT_4o_Raw_Text_91.txt,12.7,19.573529411764707,0.3876784372652141,0.12,0.871,0.01,0.9991
GPT_4o_Raw_Text_92.txt,11.9,15.788732394366198,0.35236396074933096,0.162,0.829,0.01,0.9993
GPT_4o_Raw_Text_93.txt,16.9,24.52173913043478,0.37145390070921985,0.15,0.841,0.009,0.9992
GPT_4o_Raw_Text_94.txt,12.6,20.782608695652176,0.4456066945606695,0.144,0.844,0.012,0.9986
GPT_4o_Raw_Text_95.txt,13.5,23.11904761904762,0.42224510813594235,0.107,0.879,0.013,0.9966
GPT_4o_Raw_Text_96.txt,14.4,22.32608695652174,0.3875365141187926,0.12,0.852,0.028,0.9961
GPT_4o_Raw_Text_97.txt,12.0,19.946428571428573,0.36884512085944493,0.085,0.885,0.031,0.9912
GPT_4o_Raw_Text_98.txt,13.2,29.897435897435898,0.3516295025728988,0.106,0.885,0.008,0.9977
GPT_4o_Raw_Text_99.txt,16.0,24.608695652173914,0.3833922261484099,0.109,0.879,0.012,0.9978
